.Stop right there!; Whatever. | Howdy | Hola

..Excuse me? ; Whatever. | I'm sorry. | Who are you?
...Who are you and why are you here? ; Umm...no?| I'm nobody, and where is this? | Spoon! [Run away]
....[Angry stare] ; [Run Away]
....This is a restricted area, and nobody wouldn't be here.; [Run Away]
...Would you like some tea? ; Coffeeeeee! [Attack!] | I thought you'd never ask
....You'll regret this. ; I already do. | Where am I?
....Great! Green or chamomile? ; Green! | Chamomile! | Coffee!
...I don't...I can remember!; Boooooooooring! [Run away]


..She gives you a silent, stern glare ; WOOOO! | Bloop | Glip!
...oh frip frap; grawr | dinosaurs are cool 
...SHOW ME WHAT YOU'VE GOT.; Get schwifty | No. | Bloop!
....I LIKE WHAT YOU'VE GOT!; Yay!
....CANCELLED! ; No, wait!
....CANCELLED! ; No, wait!
...Agreed! ; Great!


..What do you want? ; nada. Tu. | Todo. 
...Ok, lets go; [Shrug]
...Ok, lets go; [Nod]
